n,time,ratio
2,7.986000000403948e-06,3.993000000201974e-06
4,6.372999999726403e-06,1.5932499999316008e-06
6,5.641000000000673e-06,9.401666666667788e-07
8,7.6399999997534e-06,9.54999999969175e-07
16,1.6733999999907212e-05,1.0458749999942007e-06
32,4.4507000000137964e-05,1.3908437500043114e-06
64,0.00014127800000007795,2.207468750001218e-06
128,0.0005578179999998767,4.357953124999037e-06
256,0.0023328490000000812,9.112691406250317e-06
3000,0.45075883500000025,0.00015025294500000007
