n,e,HFN,HFE,Time
1000,50221,Low,Low,0.046875
1000,149877,Low,High,0.109375
2000,200656,High,Low,0.15625
2000,600322,High,High,0.453125
n,e,HFN,HFE,Time
1000,50221,Low,Low,0.03125
1000,149877,Low,Low,0.109375
2000,200656,High,Low,0.15625
n,e,HFN,HFE,Time
1000,50221,Low,Low,0.03125
1000,149877,Low,High,0.109375
2000,200656,High,Low,0.15625
2000,600322,High,High,0.4375
