n,m,z,hfn,hfm,hfz,tempo
1000,50355,500,Low,Low,Low,0.03125
1000,50355,1000,Low,Low,High,0.03125
1000,149421,500,Low,High,Low,0.09375
1000,149421,1000,Low,High,High,0.09375
3000,450925,500,High,Low,Low,0.296875
3000,450925,1000,High,Low,High,0.296875
3000,1348494,500,High,High,Low,0.921875
3000,1348494,1000,High,High,High,0.921875
